name,url,uuid,tags,username,license,description,duration,geotags
Rubber Hammer,https://freesound.org/people/13FPansk%C3%A1_Tolar_David/sounds/378698/,5dae458c-3f65-47d8-abc3-49832f91beef,['Rubber'+ 'hammer'+ 'Hammer'+ 'drill'],13FPanská_Tolar_David,http://creativecommons.org/publicdomain/zero/1.0/,Rubber hammer banging panel,12.656,
Jack Hammer sound.mp3,https://freesound.org/people/mrrap4food/sounds/619074/,29445e13-58fa-4d76-9acb-4eecc1345492,['building'+ 'constructing'+ 'Hammer'+ 'workers'+ 'work'+ 'build'+ 'construction'+ 'Jack'+ 'drill'+ 'builders'+ 'demolition'+ 'hammering'+ 'hammer'+ 'drilling'],mrrap4food,http://creativecommons.org/publicdomain/zero/1.0/,Jack Hammer,71.7147,
Handwerker.mp3,https://freesound.org/people/Herr%20M/sounds/168966/,af5274f3-355f-4405-b28f-1ce9518c92e6,['bohrmaschiene'+ 'craftsman'+ 'hammer'+ 'drill'+ 'Hammer'+ 'handwerker'],Herr M,http://creativecommons.org/publicdomain/zero/1.0/,craftsman,40.8435,
"Construction, Jackhammer Excavator, A.wav",https://freesound.org/people/InspectorJ/sounds/400991/,5bf7c46d-3686-498e-a21d-e7bc4953a6c0,['Excavator'+ 'Digging'+ 'hammer'+ 'excavator'+ 'Construction'+ 'Jack'+ 'digging'+ 'Jack-hammer'+ 'Digger'+ 'Drilling'+ 'Dig'+ 'construction'+ 'drilling'+ 'Drill'+ 'jack-hammer'+ 'Jackhammer'+ 'digger'+ 'dig'+ 'drill'+ 'jackhammer'+ 'Hammer'+ 'jack'],InspectorJ,https://creativecommons.org/licenses/by/4.0/,"Raw audio of construction work. An excavator equipped with a jackhammer is drilling into concrete. Recorded about 10 meters away from the excavator at the Jacksonville Zoo in Florida where the new ape exhibit is being constructed.

<b>This sound is <u>not</u> in the public domain. Please attribute/credit the sound if you use it.</b> If you would prefer to not have to give attribution, then take a look at the <b><a href=""https://www.jshaw.co.uk/inspectorj-freesound-library"" rel=""nofollow"">attribution-free license</a></b>.

An example of how you might credit is by putting this in the description/credits:
""Construction, Jackhammer Excavator, A.wav"" by InspectorJ (<a href=""http://www.jshaw.co.uk"" rel=""nofollow"">www.jshaw.co.uk</a>) of <a href=""http://Freesound.org"" rel=""nofollow"">Freesound.org</a>

If any of these sounds have been of help, and you are feeling charitable, please do consider<b> <a href=""http://www.freesound.org/donations/donate/"" rel=""nofollow"">donating to Freesound</a> </b>to help keep the site running (a link is also on the home page). Any donations are greatly appreciated! And for more awesome sounds, do please <b><a href=""https://www.jshaw.co.uk/libraries"" rel=""nofollow"">check out my sound libraries</a></b> or <b><a href=""https://www.jshaw.co.uk/store"" rel=""nofollow"">SFX store</a></b>.

Please comment on where you intend to use the sound, and feel free to post a link to the work where you used it if you want (I enjoy watching/listening to anything you create!)

The sound was recorded using a ""H1 Zoom recorder"" on 22nd August 2017.

Note: Audio quality is always better when downloaded.",16.7676,
HAMMER_2.wav,https://freesound.org/people/pablodavilla/sounds/592111/,cffab22d-370a-4a8a-a933-afdb49f2392a,['steel'+ 'metal'+ 'clang'+ 'metallic'+ 'iron'+ 'blacksmith'+ 'hammer'],pablodavilla,http://creativecommons.org/publicdomain/zero/1.0/,Sound from a blacksmith hitting metals with hammer.,9.844,
HAMMER_1.wav,https://freesound.org/people/pablodavilla/sounds/592112/,7882a7ca-a2e3-4a18-95e7-3d06f807d15a,['steel'+ 'metal'+ 'clang'+ 'metallic'+ 'iron'+ 'blacksmith'+ 'hammer'],pablodavilla,http://creativecommons.org/publicdomain/zero/1.0/,Sound from a blacksmith hitting metals with hammer.,8.41067,
hammering10.wav,https://freesound.org/people/WIM/sounds/17906/,f948c098-df96-4cfb-b09a-153f469827e9,['building'+ 'construction'+ 'environmental-sounds-research'+ 'field-recording'+ 'hammer'],WIM,http://creativecommons.org/licenses/by/3.0/,Sounds of someone on a construction site using a hammer. Unprocessed field recording.,7.57054,
hammering11.wav,https://freesound.org/people/WIM/sounds/17907/,bae21970-f530-4547-8668-6b7809ef57b5,['building'+ 'construction'+ 'environmental-sounds-research'+ 'field-recording'+ 'hammer'],WIM,http://creativecommons.org/licenses/by/3.0/,Sounds of someone on a construction site using a hammer. Unprocessed field recording.,7.83252,
hammering12.wav,https://freesound.org/people/WIM/sounds/17908/,6a83db74-bbb8-4c3c-aaaf-828c398a4037,['building'+ 'construction'+ 'environmental-sounds-research'+ 'field-recording'+ 'hammer'],WIM,http://creativecommons.org/licenses/by/3.0/,Sounds of someone on a construction site using a hammer. Unprocessed field recording.,6.91884,
hammer v3.wav,https://freesound.org/people/blukotek/sounds/337814/,611ee195-9a7b-4327-b331-1c5c21b57f7f,['tools'+ 'nails'+ 'wood'+ 'board'+ 'hammer'+ 'hammering'],blukotek,http://creativecommons.org/publicdomain/zero/1.0/,"driving nails

Other places 
Recorder: ZOOM H2 / other portable device 
Software: Pro Tools / Audacity / Ocenaudio

Your comments are greatly appreciated
Cheers, Piotr Zaczek",11.776,
