name,url,uuid,tags,username,license,description,duration,geotags
Lightswitch.wav,https://freesound.org/people/Jordishaw/sounds/490755/,4aca9fdb-e089-4908-a0d0-c4e1f3241936,['a'+ 'Turning'+ 'light'+ 'Lights'+ 'switch'+ 'Light'+ 'off'],Jordishaw,http://creativecommons.org/licenses/by/3.0/,"This sound, I created by snapping my fingers. repeatedly. Then I added a compressor in order to soften the sound , which makes it more subtle sounding. Because in reality when you switch on light it is a very gentle or soft sound.",34.0974,
Flashlight clicking sound,https://freesound.org/people/StrikeWhistler/sounds/580780/,de614cce-f3b7-491d-8565-9951deb6cc9f,['click'+ 'flashlight'+ 'Flashlight'+ 'clicking'+ 'button'+ 'clicks'+ 'sound'],StrikeWhistler,http://creativecommons.org/publicdomain/zero/1.0/,"Feel free to use it for your projects, if you want you can credit me. :)",11.7847,
FLASHLIGHT_ROLL.wav,https://freesound.org/people/haynze/sounds/423750/,3402f43e-3bc4-46e2-8cf7-d8cf8cf5decf,['Flashlight'+ 'flashlight'+ 'drop'+ 'rolling'+ 'break'],haynze,http://creativecommons.org/publicdomain/zero/1.0/,A flashlight dropping and rolling on a hardwood floor.,8.96267,
Flashlight_On_Off.aif,https://freesound.org/people/crcavol/sounds/154656/,f8f5560b-a906-42e2-87fe-9788f3fbb889,['flashlight'+ 'off'+ 'click'],crcavol,http://creativecommons.org/publicdomain/zero/1.0/,flashlight clicking on and off,34.9375,
Flashlight Switch.wav,https://freesound.org/people/jesabat/sounds/119727/,a0a8bb59-9acf-4a3f-a512-c056f37146df,['click'+ 'flashlight'+ 'switch'],jesabat,http://creativecommons.org/licenses/by/3.0/,A flashlight switching on and off.,10.4025,
windup_flashlight.flac,https://freesound.org/people/wjoojoo/sounds/256023/,15deb53d-d962-4d9f-9b58-ef8f437074a0,['flashlight'+ 'machine'+ 'whine'+ 'cranking'+ 'whiny'+ 'crank'+ 'mechanical'],wjoojoo,http://creativecommons.org/publicdomain/zero/1.0/,Cranking a wind-up flashlight,29.2107,
Flashlight_Clicks.aif,https://freesound.org/people/thereelfryboy/sounds/35013/,ce13087e-dd1f-43fd-a087-e59ccc7eeb7c,['clicks'+ 'flashlight'+ 'off'],thereelfryboy,http://creativecommons.org/licenses/sampling+/1.0/,Flashlight being clicked on and off.,17.5949,
Flashlight clicking.wav,https://freesound.org/people/Marissrar/sounds/366897/,c35f0df7-8fd7-4c91-be9f-4362032daedc,['Flashlight'+ 'short'+ 'OWI'+ 'clicking'+ 'button'+ 'clicks'+ 'flashlight-click'+ 'pen'+ 'press'+ 'tick'+ 'click'],Marissrar,http://creativecommons.org/publicdomain/zero/1.0/,Clicking of a flashlight button,17.5478,
Flashlight Clicking On and Off,https://freesound.org/people/deleted_user_7146007/sounds/383659/,fe3eb1a9-5bd1-494a-97d1-30542b525cdd,['Flashlight'+ 'Clicking'+ 'Off'+ 'On'],deleted_user_7146007,http://creativecommons.org/publicdomain/zero/1.0/,Flashlight Clicking On and Off,21.9167,
"Buzzing, Electric Lamp, A.wav",https://freesound.org/people/InspectorJ/sounds/415873/,7e187ef2-d69a-4249-b388-d9ba27a28a85,['light'+ 'Electric'+ 'Light'+ 'Buzz'+ 'lamp'+ 'Lamp'+ 'buzz'+ 'Bulb'+ 'Buzzing'+ 'buzzing'+ 'bulb'+ 'electric'],InspectorJ,https://creativecommons.org/licenses/by/4.0/,"Audio of an electric lamp bulb buzzing away. The recorder was held approximately 5cm away from the bulb. I have applied some EQ on the low end as I had to amplify this quite substantially for it to be audible.

<b>This sound is <u>not</u> in the public domain. Please attribute/credit the sound if you use it.</b> If you would prefer to not have to give attribution, then take a look at the <b><a href=""https://www.jshaw.co.uk/inspectorj-freesound-library"" rel=""nofollow"">attribution-free license</a></b>.

An example of how you might credit is by putting this in the description/credits:
""Buzzing, Electric Lamp, A.wav"" by InspectorJ (<a href=""http://www.jshaw.co.uk"" rel=""nofollow"">www.jshaw.co.uk</a>) of <a href=""http://Freesound.org"" rel=""nofollow"">Freesound.org</a>

If any of these sounds have been of help, and you are feeling charitable, please do consider<b> <a href=""http://www.freesound.org/donations/donate/"" rel=""nofollow"">donating to Freesound</a> </b>to help keep the site running (a link is also on the home page). Any donations are greatly appreciated! And for more awesome sounds, do please <b><a href=""https://www.jshaw.co.uk/libraries"" rel=""nofollow"">check out my sound libraries</a></b> or <b><a href=""https://www.jshaw.co.uk/store"" rel=""nofollow"">SFX store</a></b>.

Please comment on where you intend to use the sound, and feel free to post a link to the work where you used it if you want (I enjoy watching/listening to anything you create!)

The sound was recorded using a ""H6 (XY) Zoom recorder"" on 11th January 2018.

Note: Audio quality is always better when downloaded.",5.56186,
